Output:
                    token                             lexeme
------------------------------------------------------------
                   separator                          $$
                   keyword                            function
                   identifier                         convertx
                   separator                          (
                   identifier                         fahr
                   keyword                            integer
                   separator                          )
                   separator                          {
                   keyword                            return
                   integer                            5
                   operator                           *
                   identifier                         fahr
                   operator                           -
                   integer                            32
                   operator                           /
                   integer                            9
                   separator                          ;
                   separator                          }
                   separator                          $$
                   keyword                            integer
                   identifier                         low
                   separator                          ,
                   identifier                         high
                   separator                          ,
                   identifier                         step
                   separator                          ;
                   separator                          $$
                   keyword                            scan
                   separator                          (
                   identifier                         low
                   separator                          ,
                   identifier                         high
                   separator                          ,
                   identifier                         step
                   separator                          )
                   separator                          ;
                   keyword                            while
                   separator                          (
                   identifier                         low
                   operator                           <=
                   identifier                         high
                   separator                          )
                   separator                          {
                   keyword                            print
                   separator                          (
                   identifier                         low
                   separator                          )
                   keyword                            print
                   separator                          (
                   identifier                         low
                   separator                          )
                   identifier                         low
                   operator                           =
                   identifier                         low
                   operator                           +
                   identifier                         step
                   separator                          ;
                   separator                          }
                   keyword                            endwhile
                   separator                          $$
